type,name,file
".police_brief","Police Brief","police_brief"
".reports","Relatório de Estado de Conservação","relatorio_estado_conservacao"
".reports","Relatório de Patologias","relatorio_patologias_construtivas"
".reports","Relatório de Condições","relatorio_condicoes_estruturais"
".reports","Relatório de Ocupação","relatorio_ocupacao_instalacoes"
".articles","Artigo Reocupar","artigo_reocupar"
".articles","Artigo Cidade Vaga","artigo_cidade_vaga"
".articles","Artigo Vazios Urbanos","artigo_vazios_urbanos"
".articles","Artigo Cidade Reabitada","artigo_cidade_reabitada"
".articles","Artigo Habitacao","artigo_habitacao"
".articles","Artigo Reabilitacao","artigo_reabilitacao"
".articles","Artigo Reabitar","artigo_reabitar"
".articles","Artigo Fogos Vagos","artigo_fogos_vagos"
