DICO;CONCELHO;NUTSII_24;NUTSIII_24;T_CAR_ELH;T_VAG_B;T_VAG_21;V_POP_1121;P_VAG_21;P_VAG_RET
0101;Águeda;Centro;Região de Aveiro;369;1652;2918;-3,37;12,62;1,21
0102;Albergaria-a-Velha;Centro;Região de Aveiro;88;804;1428;-1,63;11,40;1,34
0103;Anadia;Centro;Região de Aveiro;74;1107;2324;-5,55;15,52;1,15
0104;Arouca;Norte;Área Metropolitana do Porto;221;538;1127;-5,43;10,10;0,92
0105;Aveiro;Centro;Região de Aveiro;;3204;4616;3,19;10,92;1,45
0106;Castelo de Paiva;Norte;Tâmega e Sousa;392;600;987;-6,85;12,92;1,11
0107;Espinho;Norte;Área Metropolitana do Porto;191;985;1626;-2,34;10,14;1,38
0108;Estarreja;Centro;Região de Aveiro;351;963;1874;-2,90;14,38;1,42
0109;Santa Maria da Feira;Norte;Área Metropolitana do Porto;467;3153;5813;-1,89;9,30;1,74
0110;Ílhavo;Centro;Região de Aveiro;146;1286;2201;1,65;9,74;1,91
0111;Mealhada;Centro;Região de Coimbra;118;865;1566;-5,29;15,07;1,37
0112;Murtosa;Centro;Região de Aveiro;213;325;537;-1,03;6,88;1,98
0113;Oliveira de Azeméis;Norte;Área Metropolitana do Porto;102;1689;3522;-3,55;11,49;1,12
0114;Oliveira do Bairro;Centro;Região de Aveiro;140;684;1425;0,45;12,40;1,43
0115;Ovar;Centro;Região de Aveiro;317;1266;2293;-0,80;8,02;1,12
0116;São João da Madeira;Norte;Área Metropolitana do Porto;870;640;975;1,98;9,20;1,21
0117;Sever do Vouga;Centro;Região de Aveiro;103;679;1180;-10,46;16,61;0,95
0118;Vagos;Centro;Região de Aveiro;203;687;1332;0,15;9,99;1,77
0119;Vale de Cambra;Norte;Área Metropolitana do Porto;80;743;1438;-6,98;12,06;1,57
0201;Aljustrel;Alentejo;Baixo Alentejo;139;630;998;-4,14;16,95;1,14
0202;Almodôvar;Alentejo;Baixo Alentejo;225;607;856;-9,89;15,34;0,83
0203;Alvito;Alentejo;Baixo Alentejo;48;229;445;-8,95;25,34;1,47
0204;Barrancos;Alentejo;Baixo Alentejo;68;115;144;-21,59;11,25;1,01
0205;Beja;Alentejo;Baixo Alentejo;321;2123;3003;-6,86;14,84;1,38
0206;Castro Verde;Alentejo;Baixo Alentejo;;615;859;-5,54;17,60;1,97
0207;Cuba;Alentejo;Baixo Alentejo;;436;571;-10,35;19,28;1,42
0208;Ferreira do Alentejo;Alentejo;Baixo Alentejo;;877;1114;-6,92;21,23;1,28
0209;Mértola;Alentejo;Baixo Alentejo;86;1256;1870;-14,68;21,58;1,33
0210;Moura;Alentejo;Baixo Alentejo;94;1003;1491;-12,59;14,34;1,31
0211;Odemira;Alentejo;Alentejo Litoral;1783;2416;3963;13,32;17,76;0,97
0212;Ourique;Alentejo;Baixo Alentejo;93;250;410;-10,21;9,56;0,67
0213;Serpa;Alentejo;Baixo Alentejo;256;1055;1371;-11,94;13,07;1,87
0214;Vidigueira;Alentejo;Baixo Alentejo;;487;734;-12,76;18,94;1,44
0301;Amares;Norte;Cávado;;563;904;-1,56;8,93;1,99
0302;Barcelos;Norte;Cávado;389;2599;4214;-3,02;8,45;1,51
0303;Braga;Norte;Cávado;784;5892;7772;6,52;8,77;1,50
0304;Cabeceiras de Basto;Norte;Ave;84;487;902;-6,89;9,23;1,08
0305;Celorico de Basto;Norte;Tâmega e Sousa;511;654;1431;-12,22;13,12;0,76
0306;Esposende;Norte;Cávado;575;982;1473;2,56;6,68;1,67
0307;Fafe;Norte;Ave;214;1632;2724;-4,22;10,33;1,20
0308;Guimarães;Norte;Ave;300;3661;5419;-0,80;7,76;1,23
0309;Póvoa de Lanhoso;Norte;Ave;171;566;1116;-0,65;8,94;1,13
0310;Terras de Bouro;Norte;Cávado;;269;573;-12,34;11,78;0,93
0311;Vieira do Minho;Norte;Ave;;377;805;-8,05;10,06;1,63
0312;Vila Nova de Famalicão;Norte;Ave;1481;3355;5263;-0,22;9,12;1,53
0313;Vila Verde;Norte;Cávado;165;1389;2256;-3,02;9,21;1,79
0314;Vizela;Norte;Ave;;488;765;0,67;7,78;1,24
0401;Alfândega da Fé;Norte;Terras de Trás-os-Montes;142;429;618;-15,28;15,95;1,32
0402;Bragança;Norte;Terras de Trás-os-Montes;170;1651;2400;-2,15;9,33;1,44
0403;Carrazeda de Ansiães;Norte;Douro;134;151;415;-13,86;7,75;0,54
0404;Freixo de Espada à Cinta;Norte;Douro;;180;252;-14,92;7,85;2,47
0405;Macedo de Cavaleiros;Norte;Terras de Trás-os-Montes;149;804;1509;-9,67;12,81;0,99
0406;Miranda do Douro;Norte;Terras de Trás-os-Montes;107;531;810;-13,62;14,11;1,18
0407;Mirandela;Norte;Terras de Trás-os-Montes;524;1105;1867;-10,34;12,12;1,02
0408;Mogadouro;Norte;Terras de Trás-os-Montes;73;458;979;-13,01;13,36;0,91
0409;Torre de Moncorvo;Norte;Douro;106;856;1034;-20,37;14,16;1,37
0410;Vila Flor;Norte;Terras de Trás-os-Montes;;424;908;-9,66;17,04;1,06
0411;Vimioso;Norte;Terras de Trás-os-Montes;48;329;538;-11,14;11,29;1,03
0412;Vinhais;Norte;Terras de Trás-os-Montes;57;197;419;-14,32;5,81;1,33
